id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5729646,0,Bhent,https://angel.co/bhent-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5729646-31c5999d5ca36bd8439ce473cede7ceb-medium_jpg.jpg?buster=1526212618,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5729646-31c5999d5ca36bd8439ce473cede7ceb-thumb_jpg.jpg?buster=1526212618,0,"Bhent is an all-in-one platform that allows micro, small and medium businesses to make their own websites with our beautiful templates and publish them online. No coding nor configuration is needed on hosting and domain name.

It's easy-to-use and powerful, just like when you write a text or send a message.","Bhent allows businesses to make their own website.",1,https://www.bhent.net,2018-05-13T11:56:58.000Z,2018-05-13T12:23:40.000Z,,,,,,,"SaaS, Cloud Computing, Internet Technology, Website",Cameroon,,,,
5657137,0,Pharma.+,https://angel.co/pharma-2,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5657137-0610fb4fd4a71822236d0ffdc2d30886-medium_jpg.jpg?buster=1524764174,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5657137-0610fb4fd4a71822236d0ffdc2d30886-thumb_jpg.jpg?buster=1524764174,0,"Pharma.+ est une start up camerounaise qui a pour objectif de faciliter la relation entre les pharmacies, les laboratoires pharmaceutiques et cosmétiques avec la population camerounaise et africaine . La santé est le moteur de développement d’un pays et même d’un continent et grâce à pharma+ il est facile d’avoir accès aux médicaments de pharmacies, de suivre l’évolution de leur stock de produits et de bénéfices d’un carnet de santé numérique","Health for all",1,http://www.pharmaplus.tv,2018-04-26T17:36:15.000Z,2018-04-26T17:51:41.000Z,,,,,,,"Health and Wellness",Yaounde,,,,
5655362,0,PROMAGRIC,https://angel.co/promagric,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5655362-08ae50c2241bde62a90dd9e38bcc161c-medium_jpg.jpg?buster=1524733665,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5655362-08ae50c2241bde62a90dd9e38bcc161c-thumb_jpg.jpg?buster=1524733665,0,"Prom-agric est une plateforme de mise en relation entre les professionnels producteurs/fournisseurs agricoles et les professionnels acheteurs dans la perspective d'une conclusion de vente.
Nous pratiquons le tonnefunding, c'est comme le crowfunding,ici nous ne collectons pas les FCFA pour financer un projet mais les tonnes de maïs par exemple pour satisfaire un marché. Cela crée une force de collecte plus importante plus large et plus réactive.
Nous formons aussi en ligne et physiquement les jeunes agriculteurs sur les bonnes pratiques agricoles et comment transformer leur production(matières premières) en produit manufacturé.","Le carrefour de l'agrobusiness",1,"http://https: //prom-agric.com",2018-04-26T09:07:46.000Z,2018-05-08T08:03:30.000Z,,,,,,,"E-Commerce, Marketplaces, SMS, Mobile Application",Douala,,,,
5639203,0,"Kele & PARTNER",https://angel.co/kele-partner-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5639203-2b76696ff659525eabe3cc6dac3d1bf2-medium_jpg.jpg?buster=1524489911,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5639203-2b76696ff659525eabe3cc6dac3d1bf2-thumb_jpg.jpg?buster=1524489911,0,"Innovative intensive horticulture cocoa growing method as the
primary long-term sustainability and economic performance driving model.

Projected Solution to explore the Opportunity
To exploit profitably such an opportunity The Company intends to invest in two large-scale,
agro-industrial cocoa producing projects in Africa, notably in Sao Tomé and Gabon or Cameroon, of 600 Ha each, introducing the last generation dripping irrigation
and fertigation systems. 

Please contact to obtain further info:

at 
laszlo@kelepartnercom
Tel. 0041 78 603 99 30","High yield Cocoa production",1,http://www.kelepartner.com,2018-04-23T13:25:11.000Z,2018-04-23T13:33:51.000Z,,,,,,,Agriculture,Cameroon,,,,
5611440,0,"Northwest Billiards",https://angel.co/northwest-billiards,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5611440-45075f1e72365f6bdf2c70d3feaf0bbe-medium_jpg.jpg?buster=1523943945,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5611440-45075f1e72365f6bdf2c70d3feaf0bbe-thumb_jpg.jpg?buster=1523943945,0,"Northwest Billiards also known as NW Billiards allows you to easily find all the pool industries leading products and services at one place. We also provide local tournament locations, a forum for discussion between players and even mystery boxes for players that like a little extra excitement and merchandise month to month.

We're in the process of having our own apparel manufactured and eventually we would also like to manufacture our own branded pool cues, cases and other various accessories.

Our end goal is to help modernize the pool industry and provide the the Northwest with a reliable source for merchandise, products, services, tournaments and information.","Billiards Supply and Information",1,https://www.NWBilliards.com,2018-04-17T05:41:48.000Z,2018-04-17T05:45:46.000Z,,https://www.twitter.com/NWBilliards,,https://www.facebook.com/NWBilliards,https://www.linkedin.com/company/nwbilliards/,,"Forums, Wholesale, Ecommerce, Billiards",Northwest,1-10,,,
5563428,0,Rata-grab,https://angel.co/rata-grab,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5563428-0bc792301d8af7c276d72ac1cdf36b06-medium_jpg.jpg?buster=1523011642,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5563428-0bc792301d8af7c276d72ac1cdf36b06-thumb_jpg.jpg?buster=1523011642,0,"Rata-grab allows you order fast food from your favorite restauranty.
We present you a list of restaurants to order from and deliver to your location.","Online fast-food ordering(Deliveryhero)",1,http://www.rata-grab.com,2018-04-06T10:47:24.000Z,2018-04-06T11:02:57.000Z,,http://www.twitter.com/ratagrab,,facebook.com/https://www.faceboom.com/ratagrab,,,"Mobile, E-Commerce, Food and Beverages, Same Day Delivery",Douala,1-10,"Food & Tech",,
5498536,0,Foutoo,https://angel.co/foutoo-africa,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5498536-c5452aff8c9ad9a8d9fb1afc8a057c4a-medium_jpg.jpg?buster=1521836836,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5498536-c5452aff8c9ad9a8d9fb1afc8a057c4a-thumb_jpg.jpg?buster=1521836836,0,"Foutoo is an African stock photography website that seeks to address the lack of African pictures in stock imagery by providing content creators and creatives with authentic and quality African images, at an affordable price.
Foutoo is a digital marketplace where photographers, illustrators and designers can showcase their work and sell their images to media, advertising agencies, businesses and individuals.
 In addition to the images available in the stock, Foutoo also allows users to order an image by posting a request with details about the desired picture, and have the request timely fulfilled by any member of the community. 
Finally, Foutoo also provides an image professional’s directory, making it easy for anyone on the continent to easily connect with a photographer, videographer, illustrator or designer nearby.","African Stock Photography",1,http://www.foutoo.africa,2018-03-23T20:27:16.000Z,2018-03-23T20:51:33.000Z,,https://twitter.com/FoutooCM,,https://www.facebook.com/Foutoo/,https://www.linkedin.com/company/18136850/,,"E-Commerce, Photography, Marketplaces, Content Creators",Douala,1-10,"Internet Agency, Marketplace , E Commerce, Photography",,
5497712,0,Inozr,https://angel.co/inozr,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5497712-460e31b951d9ec71a7867e1eed1afed5-medium_jpg.jpg?buster=1521825777,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5497712-460e31b951d9ec71a7867e1eed1afed5-thumb_jpg.jpg?buster=1521825777,0,"In view of the multitude of commercial enterprises that flourish, the prospect becomes an available resource but it is difficult to capture if we do not know precisely its need. The customer becomes nomadic and volatile and the traditional marketing methods become expensive in this context.
We offer a predictive marketing solution that enables B2C companies to leverage their advertising campaigns, build customer loyalty and turn prospects into customers","Market differently",1,http://www.google.cm,2018-03-23T17:22:57.000Z,2018-03-23T17:30:39.000Z,,,,,,,"Big Data, Artificial Intelligence, Predictive Markets",Douala,1-10,,,
5483546,0,"Akiva Technology",https://angel.co/akiva-technology,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5483546-4d8db6e5a37c534de7619b96c28825d1-medium_jpg.jpg?buster=1521605943,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5483546-4d8db6e5a37c534de7619b96c28825d1-thumb_jpg.jpg?buster=1521605943,0,"We handle all aspects of the software development process that allows you to stay focused on your business goals. Building web applications ranging from lightweight MVPs to complex FinTech solutions. Our web development team specialized in Python, Django, Node.js, Vue, AngularJS, and React tackles any engineering challenges and satisfies all the most demanding requests.
We don't just develop apps and websites, we develop your business","Web & Mobile application development",1,http://akivatechnology.net,2018-03-21T04:19:04.000Z,2018-03-21T04:25:24.000Z,,,,,,,"Mobile, E-Commerce, Software, Web Development, Python",Limbe,,,,
5450100,0,"John Henry's Enterprise Ltd ",https://angel.co/john-henry-s-enterprise-ltd,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5450100-2733cb275d7dcd32c16f61ebb92ac558-medium_jpg.jpg?buster=1521019501,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5450100-2733cb275d7dcd32c16f61ebb92ac558-thumb_jpg.jpg?buster=1521019501,0,"My Dear,

I represent a local miners group from Cameroon. We have a capacity to
produce between 10- 250kgs of Alluvial Gold bars every month and we
also buy from other small scale miners.

we have now available 100kgs Alluvial Gold bars ready for sale and
shipment to buyer’s zone.

We are seriously looking for a reliable person,Mandate s/group or company that will be interested in our gold and also give us a helping hand in terms of mining equipment to enable us improve in our mining capacity of production. 

With good mining equipment we can produce more than 250 kilograms  every month as we have a very rich land of gold for mine.

we are selling our gold at a very good price to anybody that can help us get mining equipment, and we will pay the equipment cost with gold in equivalent.","GOLD BARS ",1,http://www.johnhenryenterpriseltd.com,2018-03-14T09:25:02.000Z,2018-03-16T04:47:39.000Z,,,,,,,"Usa, Europe, Australian Market",Cameroon,,,,
