id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5723726,0,"PRIME Software Plc",https://angel.co/prime-software-plc-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5723726-e0a1d8939562470951e748bac1eaec34-medium_jpg.jpg?buster=1526055606,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5723726-e0a1d8939562470951e748bac1eaec34-thumb_jpg.jpg?buster=1526055606,0,"PRIME Helps different sectors, NGO, Governmental and Privet organization in developing Software, Web and Mobile applications.","Software and Mobile Apps Development",1,http://www.primetechplc.com,2018-05-11T16:20:06.000Z,2018-05-11T16:27:18.000Z,,,,,,,"Enterprise Software, Web Development, Ecommerce, Mobile Application","Addis Ababa",,,,
5703236,0,"Addis Insight",https://angel.co/addis-insight,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5703236-613345f8fb33fe4c598ef90e993b222b-medium_jpg.jpg?buster=1525719636,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5703236-613345f8fb33fe4c598ef90e993b222b-thumb_jpg.jpg?buster=1525719636,0,"Addis Insight is a digital media platform that produces video contents that addresses social problems.","Vice for Ethiopia ",1,http://www.addisinsight.com,2018-05-07T19:00:36.000Z,2018-05-07T19:22:31.000Z,,,,,,,"Mobile, Digital Media, Video, Data Visualization","Addis Ababa",,"Digital Media Production",,
5694610,0,"Ranez Business PLC",https://angel.co/ranez-business-plc,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5694610-621a0a2a021b4e0147a48411b6169986-medium_jpg.jpg?buster=1525506113,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5694610-621a0a2a021b4e0147a48411b6169986-thumb_jpg.jpg?buster=1525506113,0,"All are branded marketing and communication materials such asT-shirts, Jerseys, Caps, Flags, Bags, Car Cover, Table Cloth, Cushions cover.","We supply trade marketing materials with a capacity of 5,000 t-shirts per day",1,http://www.ranezmarketing.com,2018-05-05T07:41:53.000Z,2018-05-05T07:50:50.000Z,,,,https://www.facebook.com/ranezmarketing/?ref=bookmarks,,,"Sales and Marketing, Online Shopping, Merchandising , Digital Marketing","Addis Ababa",,,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/873/349/873349-4dfce457161491b7fdebe3580d5bc1ed5b40e013.jpg?1525506883, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/873/350/873350-8aa83abcbe8b2ff5f7714acc6161efd88bda4d3e.jpg?1525507005"
5591400,0,"Addis Tour and Travel",https://angel.co/addis-tour-and-travel-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5591400-48254e3663e6a02f455ea1d7957b4a8f-medium_jpg.jpg?buster=1523537045,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5591400-48254e3663e6a02f455ea1d7957b4a8f-thumb_jpg.jpg?buster=1523537045,0,"Tour to Historic Ethiopia
Tour to Omo Valley
Trekking tour in Ethiopia
Bird watching Tour in Ethiopia
Ertale and Danakil Depression tour
Sightseeing Tour in Ethiopia
Safari Tour in Ethiopia
City tour in Ethiopia","Tours and Travel Operation Ethiopia",1,http://www.addistour.com,2018-04-12T12:44:05.000Z,2018-04-12T12:47:05.000Z,,,,,,,"Adventure Travel, Travel & Tourism, Tours & Activities","Addis Ababa",,,,https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/869/728/869728-9aa1e7b1956d7e24cca79668c7d6f065987591ce.jpg?1523537309
5574183,0,Zensuq,https://angel.co/zensuq,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5574183-d9b86c7a39f34c7fddce4f8231bed7dc-medium_jpg.jpg?buster=1523275937,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5574183-d9b86c7a39f34c7fddce4f8231bed7dc-thumb_jpg.jpg?buster=1523275937,0,"web app","e-commerce platform for small business ",1,http://zensuq.com,2018-04-09T11:49:23.000Z,2018-04-09T12:12:32.000Z,,,,,,,"E-Commerce, Small and Medium Businesses",Arada,,"E Commerce",,
5486159,0,"Prt and Advrt",https://angel.co/prt-and-advrt,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5486159-11eb3a0539d3c235ebae1c4210bbd27c-medium_jpg.jpg?buster=1521651662,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5486159-11eb3a0539d3c235ebae1c4210bbd27c-thumb_jpg.jpg?buster=1521651662,0,"Announcements
Banners
Booklets
Booklet Envelopes
Bookmarks
Brochure Holders
Brochures
Buck Slips
Business Cards
Calendars
Campaign Printing
Canada Printing
Carbonless Forms
Cards
Catalogs
CD Covers
Club Cards
Coil Bound Booklets","Banner, stiker, recieps etc printing and stationary ",1,https://www.facebook.com/hunde.moroda,2018-03-21T16:18:30.000Z,2018-03-21T17:01:04.000Z,,,,,,,"3D Printing","Alem Gena",1-10,,,
5239479,0,Accelerated,https://angel.co/accelerated-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5239479-94c64ef0820ae1a66ae586a8bdcae629-medium_jpg.jpg?buster=1517132441,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5239479-94c64ef0820ae1a66ae586a8bdcae629-thumb_jpg.jpg?buster=1517132441,0,"Accelerated enables any school to offer personalized coaching to teachers of all levels. We match teachers with expert coaches and evidence-based classroom strategies best suited for the African context.","We are building a teacher coaching platform from the ground up for the African context.",1,http://www.accelerated.co,2018-01-28T09:27:02.000Z,2018-01-28T09:40:57.000Z,,,,,,,"K-12 Education, Teachers, Education Technology, Professionnal Training,Schools","Addis Ababa, Cape Town",1-10,,,
5157144,0,"Blueberry Events",https://angel.co/blueberry-events,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5157144-20cc7fc9c02e32802a2e60eb3b700760-medium_jpg.jpg?buster=1515672763,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5157144-20cc7fc9c02e32802a2e60eb3b700760-thumb_jpg.jpg?buster=1515672763,0,,"We organize Corporate Event or Brand Activation Event. We have the expertise to help.",2,https://blueberrycommunica.wixsite.com/blueberryevents,2018-01-11T12:12:44.000Z,2018-01-11T12:20:27.000Z,,,,,,,"B2B, Events, Event Management, Events Services","Addis Ababa",,,,
4956658,0,www.ethio.me,https://angel.co/www-ethio-me,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4956658-1528a1cffad302b4f39a36dbb90cb271-medium_jpg.jpg?buster=1511283545,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4956658-1528a1cffad302b4f39a36dbb90cb271-thumb_jpg.jpg?buster=1511283545,0,"A social network website targeting Ethiopians all over the world. Ethiopia with a 10+% annual growth in the past 5+ years and with the booming internet subscribers, a social network that knows the local touch.","A social network for 100m people",1,http://www.ethio.me,2017-11-21T16:59:05.000Z,2017-11-21T17:02:54.000Z,,,,,,,"Social Media Marketing, Social Network Media, Social Network","Addis Ababa",,,,
4800014,0,SemayDocs,https://angel.co/semaydocs,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4800014-a764b58b5fe08af30f9dec5a9fd15604-medium_jpg.jpg?buster=1508339617,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4800014-a764b58b5fe08af30f9dec5a9fd15604-thumb_jpg.jpg?buster=1508339617,0,"SemayDocs is a document management platform that enables businesses to manage their files effectively.

It reduces the need for inefficient paper handling by digitizing documents through Amharic/English optical character recognition(OCR), instant search, cloud storage, file sharing, mobile access and language translation.","Document Digitization Platform For Businesses",4,http://semaydocs.com,2017-10-18T15:13:37.000Z,2017-12-06T14:39:58.000Z,,https://twitter.com/semaydocs,,https://www.facebook.com/semaydocs,,https://www.youtube.com/watch?v=fQvSaOYYz4E,"Enterprise Software, Image Recognition, Cloud Data Services, Document Management","Addis Ababa, Ethiopia",1-10,,,
