id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5423122,0,"FOOD BANK LIBERIA ",https://angel.co/food-bank-liberia,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5423122-715a72eb75120b776dc987815d8bf1f4-medium_jpg.jpg?buster=1520515226,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5423122-715a72eb75120b776dc987815d8bf1f4-thumb_jpg.jpg?buster=1520515226,0,"The product is our own local seeds like: pepper,okra,beans,corn,tomatoes,bitter balls etc, these products help to provides income for the customers,create market opportunities and create greater livelihood income-generation for the community and their families. our product get the farmers to make on time production based on the availability of our product at their door step. on like in the past they have to wait months for seeds to be imported in the country thus causing them much delay,and low production.
Our customers are: Farmers,marketers,local buyers/ individual buyers.","Local seed multiplication/ packaging ",1,http://non,2018-03-08T13:20:26.000Z,2018-03-28T22:12:19.000Z,,,,,,,"Pre Seed",Monrovia,,"Private Company",,
3822439,0,"SOLAR ENERGY LIBERIA",https://angel.co/solar-energy-liberia,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3822439-452bfc86063cb856bbb3570c90aa09b9-medium_jpg.jpg?buster=1489749684,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3822439-452bfc86063cb856bbb3570c90aa09b9-thumb_jpg.jpg?buster=1489749684,3,"ABOUT US
 Solar Energy Liberia, Inc. is a full service design, engineering and procurement of solar energy company. Our company provides on-site solar power generation options for businesses, municipalities, educational institutions and community electric developers.
Our approach is to install systems to the highest engineering standards, and make the switch to renewable energy simple for our customers. We've revolutionized the way energy is delivered by giving customers a cleaner, more affordable and sustainable alternative to their energy supply.","Lighting Your World",1,http://wswwolarenergyliberia.com,2017-03-17T11:03:35.000Z,2017-03-17T11:23:11.000Z,,,,,,,"Location Based Services, Logistics",Monrovia,,,,
3220936,0,Gilded1Sports,https://angel.co/gilded1sports,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3220936-d0bce00baa4620cad3befeec0fe398d4-medium_jpg.jpg?buster=1480622597,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3220936-d0bce00baa4620cad3befeec0fe398d4-thumb_jpg.jpg?buster=1480622597,5,"Gilded1Sports is a digital sports media company that covers Liberian Football. Liberia is THE world’s best kept secrets when it comes to amazing football talent. George Weah, the only African player ever to win the FIFA Ballon d’or is Liberian. That high level of talent still exists in Liberia, so we at Gilded1Sports create content to put Liberia in the world football conversation, and we have a positive social, economic, and environmental impact on the community around us as we do it.","ESPN of Africa",1,http://www.liberianplayersoutside.com,2016-12-01T20:03:17.000Z,2016-12-01T20:21:03.000Z,,,,,,https://www.youtube.com/watch?v=AEr_JJbQVZc,"Digital Media, Sports, Environmental Innovation, Literature",Monrovia,,,,
3003152,0,EveryBuilder,https://angel.co/everybuilder,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3003152-dca10bc5aa411f4ce8249107c6565d13-medium_jpg.jpg?buster=1478202054,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3003152-dca10bc5aa411f4ce8249107c6565d13-thumb_jpg.jpg?buster=1478202054,2,"Create a website online or by SMS and send and receive money online or by SMS","Web Site Builder and Mobile Money App",1,http://everybuilder.website,2016-11-03T19:36:24.000Z,2016-11-03T19:41:00.000Z,,,,,,,"Web Design, Mobile Payments",Monrovia,1-10,,,
2655407,0,"Cookshop Food Services",https://angel.co/cookshop-food-services-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2655407-d73e4a3a8ff084f0b8566d5850d3ee32-medium_jpg.jpg?buster=1476042301,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2655407-d73e4a3a8ff084f0b8566d5850d3ee32-thumb_jpg.jpg?buster=1476042301,4,"Cookshop is an ecosystem that links local growers/producers, food retailers, and advertisers directly to consumers.
	* Our online food delivery service aggregates the menus of local food retailers in an easy to use interface for tech savvy consumers.
	* Our produce distribution service uses harvest tracking to create a virtual marketplace for local growers who typically lack access to markets.
	* Our online grocery delivery service brings local produce to high value consumers and food retailers.
	* Our platform allows advertisers to target consumers through various methods including, SMS messaging, online advertising, and flier distribution.
	* Our  digital finance network connects all parties in our ecosystem, bringing developing markets into the digital economy on a level playing field.
	* Lastly, for every 10 orders we receive through Cookshop, we donate a free meal to school-aged child who needs it.","Food network of West Africa",1,http://Cookshop.biz,2016-10-09T19:45:01.000Z,2016-10-09T19:45:01.000Z,,,,,,,"E-Commerce, Advertising, Agriculture, Food Tech",Monrovia,,,,
2655405,0,"Cookshop Food Services",https://angel.co/cookshop-food-services,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2655405-dab74916f0b726d4631bbb2fdbc26d0b-medium_jpg.jpg?buster=1476042137,https://d1qb2nb5cznatu.cloudfront.net/startups/i/2655405-dab74916f0b726d4631bbb2fdbc26d0b-thumb_jpg.jpg?buster=1476042137,4,"Cookshop is an ecosystem that links local growers/producers, food retailers, and advertisers directly to consumers.
	* Our online food delivery service aggregates the menus of local food retailers in an easy to use interface for tech savvy consumers.
	* Our produce distribution service uses harvest tracking to create a virtual marketplace for local growers who typically lack access to markets.
	* Our online grocery delivery service brings local produce to high value consumers and food retailers.
	* Our platform allows advertisers to target consumers through various methods including, SMS messaging, online advertising, and flier distribution.
	* Our  digital finance network connects all parties in our ecosystem, bringing developing markets into the digital economy on a level playing field.
	* Lastly, for every 10 orders we receive through Cookshop, we donate a free meal to school-aged child who needs it.","Food network of West Africa",1,http://Cookshop.biz,2016-10-09T19:44:29.000Z,2016-10-09T19:44:29.000Z,,,,,,,"E-Commerce, Advertising, Agriculture, Food Tech",Liberia,,,,
1125738,0,"Lenigrafix Technologies",https://angel.co/lenigrafix-technologies-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1125738-3fe4695e8424c4b7cded0fd9c2684207-medium_jpg.jpg?buster=1462598051,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1125738-3fe4695e8424c4b7cded0fd9c2684207-thumb_jpg.jpg?buster=1462598051,1,"Information and Communication, Data Management System, VSaT Installation, ICT Equipment Repair and Maintenance","Business Consultation Management",1,http://www.lenigrafixtechnologies.com,2016-05-07T05:14:11.000Z,2016-05-07T05:14:11.000Z,,,,,,,"Mobile, Business Information Systems, Big Data",Monrovia,,,,
1106832,0,"Monrovia Carpeting",https://angel.co/monrovia-carpeting-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1106832-dd915673e04e4a0406678230155d54e1-medium_jpg.jpg?buster=1461388462,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1106832-dd915673e04e4a0406678230155d54e1-thumb_jpg.jpg?buster=1461388462,1,"24 Hours Carpet Cleaning Services in Monrovia, CA - Call us (626) 238-0221. 
Want to keep your carpet clean, looking fresh and brand new all the time? Give us a call and we will be happy to assist you. Monrovia Carpeting offers friendly green products that are safe for kids and pets with Guarantee. Our Company have a experience of several years now with 100s of happy customers to give you the top service. Monrovia Carpeting is the #1 carpet cleaner company that will take care for your needs - residential & commercial. Looking for the top carpet cleaning staff at Monrovia, CA? you are in the right website - Monrovia Carpeting! We do all kind of cleaning services - Car Carpet Cleaning, Carpet Cleaning, Upholstery Cleaning, Sofa Cleaning & More.. Busy at work? Our company will take care of all your cleaning needs. - don't worry!. We are Licensed, Bonded And Insured and we have the #1 rates & staff at Monrovia, CA.",Carpeting,1,http://www.monroviacarpeting.com,2016-04-23T05:14:22.000Z,2016-04-23T05:17:01.000Z,http://www.crunchbase.com/organization/%2Forganization%2Fmonrovia-carpeting,,,,,,"Business Services",Monrovia,,,,
1100110,0,Hisely,https://angel.co/hisely,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1100110-34a32064b461cebd9916480026e44363-medium_jpg.jpg?buster=1510274039,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1100110-34a32064b461cebd9916480026e44363-thumb_jpg.jpg?buster=1510274039,1,"We offer Learner - tutor services and Tutor - Learners services for growth enthusiasts in Liberia. 

Our services includes Understanding Learners' Learning style, Tutors Teaching style and foster a matching process on a principle of best fit. 

Learners can request tutor, review before request, check location, see past reviews and recommendations and decide base on tutor price and availability.

Tutors can also set price and time availability.","We are an e-tutor marketplace that connects learners in Liberia to best fit tutors.",1,http://bit.ly/hiselyliberia,2016-04-18T18:37:08.000Z,2017-11-10T00:33:59.000Z,,,,https://web.facebook.com/hiselytutors,,,"Education, Edtech","Liberia, Monrovia",1-10,Startup,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/843/417/843417-de5457fbb05a723209ea8ff255969a9f317ced13.PNG?1510272554, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/843/418/843418-9a0b3a28fa5e9481b5d070d27373f24edb3bfc73.PNG?1510272569, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/843/419/843419-ccdd9905025cbb4390c62c5f6d5bbc3530ffade2.PNG?1510272627, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/843/421/843421-ff8fe34b80d6201cd87b4570d5af506c6aeae635.PNG?1510272744"
1095415,0,"Monrovia Ca Air Duct Cleaning",https://angel.co/monrovia-ca-air-duct-cleaning-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1095415-4a2ba99ead32a1e53cb984b7bdcdd1a6-medium_jpg.jpg?buster=1460638597,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1095415-4a2ba99ead32a1e53cb984b7bdcdd1a6-thumb_jpg.jpg?buster=1460638597,1,"24 Hours AIR DUCT CLEANING SERVICES IN MONROVIA, CA | Call (626) 624-4312 .
We are the #1 air duct cleaning company who will take care for your needs - residential & commercial.
Our Company do all kind of air duct cleaning solutions - Attic Inspections, Air Duct Cleaning, Dryer Vent Cleaning, Asbestos Removal and More..Our company is Licensed, Bonded And Insured and we have the best rates & employees at Monrovia, CA.Looking for the top air duct cleaning company at Monrovia, CA? you are in the right spot - Monrovia Ca Air Duct Cleaning!
Our Company have a reputation of years now with hundreds of customers to bring you the top result.Our Company Is Insured, Licensed And Bonded !Quality - #1 Products , Customer Service & Employees !Reputation & References - More Than 100s Happy Customers !100% Satisfaction Guaranteed !Free Price Estimate Over The Phone - Call Our Customer Service To Get it !",Cleaning,1,http://www.monroviacaairductcleaning.com,2016-04-14T12:56:37.000Z,2016-04-14T12:58:42.000Z,,,,,,,"Business Services",Monrovia,,,,
