id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5173571,0," Who Viewed My Instagram Profile",https://angel.co/who-viewed-my-instagram-profile,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5173571-c830e19c0c6e4b3c795740e1efee4fe2-medium_jpg.jpg?buster=1516000836,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5173571-c830e19c0c6e4b3c795740e1efee4fe2-thumb_jpg.jpg?buster=1516000836,0,"Who Viewed My Profile are looking for a full list of people who have viewed my Instagram profile the most and not just of those who have left a comment on it!",wvmp,1,https://whoviewedmyprofile.net/,2018-01-15T07:20:36.000Z,2018-01-15T07:23:40.000Z,,,,,,,"Sales and Marketing","Mahajanga Province",1-10,,,
3453974,1,"Smartone group",https://angel.co/smartone-group-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3453974-9d4d29057d4de077349b670d1507b610-medium_jpg.jpg?buster=1485156859,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3453974-9d4d29057d4de077349b670d1507b610-thumb_jpg.jpg?buster=1485156859,2,"SmartOne® is an emerging service provider based in Madagascar, the new Information Hub in the Indian Ocean, specialized in Business Process Outsourcing, IT Services and Customer Relationship Management.

Our main asset is a young, dynamic and multicultural team that is able to adapt to your specific needs and constraints, and that will make sure your requirements are met and delivered on time with the expected level of quality.

Located in the Central Business District of Antananarivo, our state of the art infrastructure will offer the assurance of an added value to your business.

Be Smart, be the One, choose SmartOne®","BPO services-Machine Learning-Contact Centers",0,http://www.smartone-group.com,2017-01-23T07:34:19.000Z,2017-07-19T19:14:21.000Z,,,,,,,"Machine Learning, BPO Services, Contact Centers",Antananarivo,51-200,"Information Technology",,
3341244,0,"GasyCar ",https://angel.co/gasycar,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3341244-17f884b4f3cefefac57efcee40f8de84-medium_jpg.jpg?buster=1483784431,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3341244-17f884b4f3cefefac57efcee40f8de84-thumb_jpg.jpg?buster=1483784431,5,"GasyCar is a car sharing app designed to meet the specificities of Madagascar. It mostly uses the same principles as classic car sharing save for the fact that Malagasy people scarcely have credit cards, so, the payment for GasyCar will be on-the-spot using a yearly subscription system. Hitchhiking is common currency here  but not formalized. Otherwise, people without a car get about using vehicles called taxi-brousse and looking like small buses which are quite uncomfortable.
GasyCar is aimed at offering an alternate means of tansportation to Malagasy people.
PS: The product is built already, but the team is still under construction.","The very first car sharing app for Madagascar ",2,http://www.gasycash.com/,2017-01-07T10:20:32.000Z,2017-01-07T11:02:19.000Z,,,,https://www.facebook.com/Intheboxs-Family-371689506523431/,,,"Mobile Application, Car Sharing",Madagascar,1-10,,,
3304630,0,Tanascript,https://angel.co/tanascript,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3304630-27fee3e5a24ccd8d479a78416ce85d38-medium_jpg.jpg?buster=1493818745,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3304630-27fee3e5a24ccd8d479a78416ce85d38-thumb_jpg.jpg?buster=1493818745,2,,,1,http://www.tanascript.com,2016-12-28T14:30:38.000Z,2017-05-03T13:39:05.000Z,,http://twitter.com/@tanascript,,,,,"Enterprise Software, Customer Service, Web Development, Mobile Application","Antananarivo Renivohitra",11-50,"Limited Liability Company",,
1803767,0,"Aye-Aye Conservation",https://angel.co/aye-aye-conservation-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1803767-635588ef255dfa2a72658f85a3f609b7-medium_jpg.jpg?buster=1471052712,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1803767-635588ef255dfa2a72658f85a3f609b7-thumb_jpg.jpg?buster=1471052712,4,"No product. Just like minded individuals wanting to help have this highly endangered lemur species.","Conservation of Highly Endangered Aye-Ayes",2,http://www.gofundme.com/b7n0eo,2016-08-13T01:45:12.000Z,2016-08-13T01:53:44.000Z,,http://twitter.com/@aye_aye_conserv,,http://Http://www.facebook.com/helptheayeaye,,,Science,"Madagascar, Antananarivo",,,,
1202614,0,Onja,https://angel.co/onja,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1202614-87e727492b27c05b3d7d53310d5bcb7f-medium_jpg.jpg?buster=1492701082,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1202614-87e727492b27c05b3d7d53310d5bcb7f-thumb_jpg.jpg?buster=1492701082,4,"In a nutshell we handpick highly intelligent teenagers from extremely poor communities. We groom them into brilliant coders, then employ them to make software. They earn a life changing salary, and we, the organisation makes a profit, which we use to educate more students, and the cycle continues. We’re starting in Madagascar, home to some of the world’s poorest, and most deserving people.","From extreme poverty to top coders",3,http://onja.org,2016-06-18T13:58:14.000Z,2017-04-20T15:11:29.000Z,,,,,,,Outsourcing,Madagascar,1-10,"Social Enterprise",,
823035,0,"Fitiavana transportation Madagascar",https://angel.co/fitiavana-transportation-madagascar,https://d1qb2nb5cznatu.cloudfront.net/startups/i/823035-1487c6a19f0ee58384aba96e1cd7730f-medium_jpg.jpg?buster=1441256345,https://d1qb2nb5cznatu.cloudfront.net/startups/i/823035-1487c6a19f0ee58384aba96e1cd7730f-thumb_jpg.jpg?buster=1441256345,1,"Greetings from Ramisajaona Jean-Luc Olivier,

My plan is to make passengers and tourists transport services to Madagascar with 90 units of Coaches Buses and 120 units of City/Intercity Buses. I’m also interested in hearing about debt and/or equity options.
Capital required: US-$130,466,162 
Investors are most welcome: 
BP available (Attached) 
Next, My project has significant socio-economic impacts in Madagascar:
1. The create/support or boost a business activity in Africa directly 
2. Growth potential, sustainability, and local job creation potential 
3. Innovative opportunity and social responsibility for Africa 
4. Environmental friendly 
5. Ethical commitment.","Business development/ Passengers transport and tourists transport services to Madagascar.",2,http://www.fitiavanatransportation.com,2015-09-03T04:59:11.000Z,2016-12-14T10:51:34.000Z,,,,,,,"Transportation, Public Transportation",Madagascar,,,,
729177,0,"Fitiavana transportation Madagascar",https://angel.co/fitiavana-transportation,https://d1qb2nb5cznatu.cloudfront.net/startups/i/729177-9ec41f9226220889746fb9055d5cc754-medium_jpg.jpg?buster=1471345504,https://d1qb2nb5cznatu.cloudfront.net/startups/i/729177-9ec41f9226220889746fb9055d5cc754-thumb_jpg.jpg?buster=1471345504,1,"Greetings from Ramisajaona Jean-Luc Olivier,
We are looking for co-investor to start our activities in Madagascar. We currently have investors willing to work with us in the US but we have problems for the project costs below:
-          Registration à Madagascar
-          To open a ""Foreign Owned LLC
-          To open a Business Current Account in Bank (Wells Fargo Bank International)
-          USA travel expenses for a face to face with Wells Fargo Bank International
We estimate US- $ 5, 000,000 the costs of necessary project.
Finally, please let us know if your company is interested and please let us know if you have a proposal win / win.
If you need more information, please contact Jean-Luc Olivier Ramisarijaona by E-mail: inforamisajaona@moov.mg or by phone: +261328183544","Passenger and Tourism transportation",2,https://fr.linkedin.com/in/jean-luc-olivier-ramisajaona-008a3117,2015-06-13T08:24:48.000Z,2016-08-16T11:05:27.000Z,,https://twitter.com/inforamisajaona,,https://fr-fr.facebook.com/public/Jean-Luc-Olivier-Ramisajaona,https://fr.linkedin.com/in/jean-luc-olivier-ramisajaona-008a3117,,"Public Transportation",Antananarivo,501-1000,Transportation,,
560207,0,"eos enterprise",https://angel.co/eos-enterprise,https://d1qb2nb5cznatu.cloudfront.net/startups/i/560207-9ece26a270c326ee093519bfcd8ba07e-medium_jpg.jpg?buster=1418901395,https://d1qb2nb5cznatu.cloudfront.net/startups/i/560207-9ece26a270c326ee093519bfcd8ba07e-thumb_jpg.jpg?buster=1418901395,1,"eos enterprise provides the first e-commerce multi-store service in Madagascar and the Indian ocean. eos enteprise manage the availability and the content of website , the payment process and the delivery of products to the purchaser.
The service lets vendors to sell their products whenever and wherever with middle cost and high-quality service. It make easier the concept of exchange between seller and purchaser.
Purchaser clients can make their shopping via Internet by smartphone or computers.","High-quality e-commerce multi-store website",1,http://www.eosshop.com,2014-12-18T11:16:47.000Z,2014-12-18T11:37:39.000Z,,,,,,,"B2B, Social Commerce, Small and Medium Businesses",Antananarivo,,"Marketing Services, Internet",,
539120,0,"Lulu Tours Madagascar",https://angel.co/lulu-tours-madagascar,https://d1qb2nb5cznatu.cloudfront.net/startups/i/539120-cbc4b9061a37ccaa62c0d68b18371006-medium_jpg.jpg?buster=1416483740,https://d1qb2nb5cznatu.cloudfront.net/startups/i/539120-cbc4b9061a37ccaa62c0d68b18371006-thumb_jpg.jpg?buster=1416483740,1,"Lulu Tours organizes, conceives, designes and creates tours throughout the whole Madagascar.
Packages tours, Excursions, Car rentals...","Tours and Holidays organizer in Madagascar",1,http://www.lulu-tours.com,2014-11-20T11:42:25.000Z,2014-11-20T11:46:23.000Z,,,http://madagascar-lulu-tours.blogspot.com,,,,"Online Travel, Tourism, Ego Trips, Travel & Tourism",Madagascar,,,,
