id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
4818559,0,"JS Lights ",https://angel.co/js-lights,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4818559-034d2f3e28f3b45338dcacc72bac78e0-medium_jpg.jpg?buster=1508766992,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4818559-034d2f3e28f3b45338dcacc72bac78e0-thumb_jpg.jpg?buster=1508766992,0,"JS Lights is a UK registered distributor of solar systems in Malawi, Africa. We sell solar lighting systems to those 12 million Malawians living off-grid or have poor access to electricity. We sell our products at a very reasonable price and offer finance facilities since most people can not afford to purchase the systems outright.","Renewable Solar Energy",2,http://www.jslights.co.uk,2017-10-23T13:56:34.000Z,2017-10-23T14:20:44.000Z,,,,,,,"Clean Energy, Solar, Renewable Energies, Electrical Distribution",Blantyre,,,,
4222060,0,"DamiWe Gardens",https://angel.co/damiwe-gardens,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4222060-df92c39004fd8bcf9a2d1e4eea661cdb-medium_jpg.jpg?buster=1496833752,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4222060-df92c39004fd8bcf9a2d1e4eea661cdb-thumb_jpg.jpg?buster=1496833752,3,"DamiWe Gardens hosts weddings, engagements, parties, music and other entertainment shows.","Working with Purpose",1,"http://none yet",2017-06-07T11:09:13.000Z,2017-06-07T11:32:54.000Z,,,,"http://facebook.com/wezzie kabvuta",,,"Architecture, Landscaping","Kasungu, Central Region",1-10,,,
3099015,0,"Handicap international",https://angel.co/handicap-international-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3099015-f80f7f0c766955f7511a47e9b3db0a86-medium_jpg.jpg?buster=1478883645,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3099015-f80f7f0c766955f7511a47e9b3db0a86-thumb_jpg.jpg?buster=1478883645,2,"This call for tenders is mainly for Africans. We are looking for unemployed youth or people who want to change jobs so that we can work in our offices in Canada to support vulnerable people in Canada and around the world. Close to 60 countries Handicap International relies on its dynamic employees committed to its side to make a real difference in the lives of vulnerable people and disability around the world.Please attach your CV, cover letter and a copy of the diploma on Higher at the email address: recrut_handicap_inter@outlook.fr.","This call for tenders is mainly for Africans.",3,"http://Handicap international",2016-11-11T17:00:47.000Z,2017-05-29T15:44:53.000Z,,,,,,,"B2 B Market – Sme’S Specifically ",Malawi,5000+,,,
3096561,0,Lilaga,https://angel.co/lilaga-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3096561-26514c59480a6310eb46da548357fe9a-medium_jpg.jpg?buster=1478873576,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3096561-26514c59480a6310eb46da548357fe9a-thumb_jpg.jpg?buster=1478873576,2,"With very high rate of urbanisation, Malawi has not provided the housing needed and there is shortage of housing. Mortgage finance is not an option for the majority hence incremental construction by all income groups. Lilaga is providing plots for households to start their home ownership journey. Lilaga consolidates land, plans, services and sells the plots on the market.

Lilaga begun consolidating land and developing plots and putting them on the market this year. To date 400 plots have been sold since April 2016 and the demand keeps growing. The high rate of urbanisation and lack of plots on the market makes our products attractive. The ease with which Lilaga is able to assemble land and demarcate at the pace that brings very high value for money. The payment mechanisms makes the products attractive.

To start with we are focusing on Lilongwe, but we have to reach to other parts of Malawi and eventually SubSaharan Africa. Most of our clients are first time home owners and investors","Investment Platform for African Real Estate DEVELOPMENT",1,https://web.facebook.com/acacialilongwe/,2016-11-11T14:12:57.000Z,2016-11-20T20:13:54.000Z,,,,,,,"Investment Management, Crowdfunding, Real Estate Investors, Urban Development",Lilongwe,1-10,,,
1107931,0,"Mckinney Lock And Key",https://angel.co/mckinney-lock-and-key-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1107931-8d6698be334c9b71821fdefa16303426-medium_jpg.jpg?buster=1461506565,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1107931-8d6698be334c9b71821fdefa16303426-thumb_jpg.jpg?buster=1461506565,1,"4x7 Locksmith Services in McKinney, TX

If you are looking for a Locksmith company in McKinney, TX, you have arrived at the right place.",Good,1,http://www.mckinneylockandkey.com,2016-04-24T14:02:45.000Z,2016-04-24T14:04:13.000Z,,,,,,,"Quantified Self",Mchinji,,,,
1018854,0,"McLean Garage Door Repair",https://angel.co/mclean-garage-door-repair-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1018854-ea83963cffde3b15952f9cd9ad0bb089-medium_jpg.jpg?buster=1455588012,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1018854-ea83963cffde3b15952f9cd9ad0bb089-thumb_jpg.jpg?buster=1455588012,1,"Garage door repair and installation services around Mclean, Va |
 Give us a call at (703) 991-6236.

When considering garage door and opener repair in McLean, VA, McLean Garage Door Repair is able to repair them all. We have a lot to provide you, included in our amazing variety you will see, Commercial metal doors, Custom carriage garage doors, Garage door installation, Garage door openers, Garage door repair, Garage spring replacement and much more. A good looking and well-functioning garage door doesn't only add a fantastic aesthetic to the look of your residence, it can increase its worth also. We have a wide range of residential garage doors which are designed for the very best in operate and effectiveness or visit http://www.garagedoorrepairmcleanva.com","Garage Door Repair",1,http://www.garagedoorrepairmcleanva.com,2016-02-16T02:00:12.000Z,2016-02-16T02:03:00.000Z,,,,,,,"Business Services",Mchinji,,,,
991356,0,"McHenry Garage Door Repair",https://angel.co/mchenry-garage-door-repair-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/991356-1379fc8c9bf979992139adbe4c9987be-medium_jpg.jpg?buster=1453832846,https://d1qb2nb5cznatu.cloudfront.net/startups/i/991356-1379fc8c9bf979992139adbe4c9987be-thumb_jpg.jpg?buster=1453832846,1,"When it comes to garage door and opener maintenance in McHenry, IL, McHenry Garage Door Repair is able to repair all of them. We have a lot to present you, included in our amazing collection you can see, Commercial metal doors, Custom carriage garage doors, Garage door installation, Garage door openers, Garage door repair, Garage spring replacement and much more. A fantastic looking and well-functioning garage door doesn't only give a terrific aesthetic for the look of your residence, it could possibly raise its worth too. We have a wide range of residential garage doors which are made for the very best in operate and effectiveness. If you need assistance with all the installation of a new garage door, or require different door openers for your current unit, you can rest assured our team is prepared and ready to get it done for you, at any moment through the day 24/7. Give us a phone call at (815) 246-3019 and we will be right there to suit your needs.","garage door repair",1,http://www.mchenrygaragedoorrepair.biz,2016-01-26T18:23:28.000Z,2016-01-26T18:27:34.000Z,,,,,,,Automotive,Mchinji,,,,
955317,0,"Face of Hope, Malawi",https://angel.co/face-of-hope-malawi-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/955317-7a8fc45404832e6bc92cccd3bb2ac869-medium_jpg.jpg?buster=1451226092,https://d1qb2nb5cznatu.cloudfront.net/startups/i/955317-7a8fc45404832e6bc92cccd3bb2ac869-thumb_jpg.jpg?buster=1451226092,4,"
Face of Hope is a non-profit organisation that aims to conduct activities that would provide protection and support for victims and potential victims of child abuse and domestic violence. 
The organisation aims to provide services and help with policies that would identify, protect, support and empower victims of domestic violence and child abuse.
Face of Hope will also work to prevent incidences of child abuse and domestic violence by attempting to alter cultural and social standards in Malawi","Support for victims of child abuse and domestic violence",1,http://hope.faceofhopemw.org/,2015-12-27T12:07:35.000Z,2015-12-27T14:56:55.000Z,,http://twitter.com/faceofhopemw,,https://www.facebook.com/faceofhopemw/,,,"Communities, Nonprofits, Women-Focused, Underserved Children",Lilongwe,11-50,Non-Profit,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/634/243/634243-b4201d5866a5300d0f9d2be82a744ca98d77c14e.jpg?1451225985, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/634/244/634244-615fe9de16cb7bc9e7584ceaab492d511251ea81.jpg?1451227651, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/634/245/634245-915072e4c1de451686d92b79967990d74d84447f.jpg?1451227684"
629770,0,"Noble Creations",https://angel.co/noble-creations-2,https://d1qb2nb5cznatu.cloudfront.net/startups/i/629770-84131e322a5013b76831fd7f9a3d9935-medium_jpg.jpg?buster=1425591163,https://d1qb2nb5cznatu.cloudfront.net/startups/i/629770-84131e322a5013b76831fd7f9a3d9935-thumb_jpg.jpg?buster=1425591163,4,"Noble Creations (Noble) is an organisation run on Christian principals with the aim of bringing change and growing an artistic generation in Africa. Noble is here to bring opportunities to young creators to create and express themselves through the arts. Our aim is to set up creative houses on wide bases; so they will be accessible to as many young people as possible. Noble also aims to start workshops in schools to give people opportunities to see their personal abilities, during the workshops Noble will teach students the importance of art and what effect it has on our current economy. Noble intends to attract a minimum of 120 young people every month per centre. Noble is also aiming to hold workshops at a minimum of 2 schools a month; we will spend 3 days at each school.","When Creating, The Sky Is The Limit.",3,http://www.noblecreations.me,2015-03-05T21:32:48.000Z,2015-06-17T19:20:21.000Z,,http://www.twitter.com/creationsnoble,,http://www.facebook.com/noblecreations.me,,,"Digital Media, Art",Malawi,51-200,,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/486/595/486595-ed5b683129831d875ce15fcfe7cf84ed63a48223.jpg?1425723607, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/486/596/486596-74d55302506c7cb117f668b6023350336a24c16f.jpg?1425724089, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/486/597/486597-35bfea047801f51a06714e40d41f2bc4600ebc87.jpg?1425724269, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/486/621/486621-d84f05b882e75b6d63816384c4bb6878901ade05.jpg?1425728121, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/486/622/486622-35d4c8230ee117b9cbdc27e96434edde35304ce9.jpg?1425728649"
625239,0,"President Joyce Banda",https://angel.co/president-joyce-banda,https://d1qb2nb5cznatu.cloudfront.net/startups/i/625239-df6376c170075eba1f92aaf90db8a8d9-medium_jpg.jpg?buster=1425279485,https://d1qb2nb5cznatu.cloudfront.net/startups/i/625239-df6376c170075eba1f92aaf90db8a8d9-thumb_jpg.jpg?buster=1425279485,1,"President Joyce Banda,Joyce Banda,President of Malawi,Malawi President Joyce Banda,Excellency President Joyce Banda,Joyce Banda Malawi,Joyce Banda,Banda Joyce,DR. JOYCE BANDA,UNDER THE JOYCE BANDA FOUNDATION,Joyce Banda her life,Dr. Banda’s passion,Indeed President Dr. Banda, Dr. Banda, Joyce Banda her life changed, republic of Malawi","President Joyce Banda",2,http://president-joyce-banda.blogspot.in,2015-03-02T06:58:10.000Z,2015-03-02T06:59:02.000Z,,,,,,,"East Africa",Mwanza,,,,
