id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5696409,0,"Yadee Solutions",https://angel.co/yadee-solutions,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5696409-5cdc2ef092965ff187a42574a39ce448-medium_jpg.jpg?buster=1525559089,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5696409-5cdc2ef092965ff187a42574a39ce448-thumb_jpg.jpg?buster=1525559089,0,"Djaamyadee is an application available in web, mobile and USSD version contributing to digitalizing the transport sector for better mobility and sustainable development in the african continent. 
Our app helps its users to find the means of transport of their wish, to transport parcels inside and outside the country, to save time and to pay their transport costs without moving.
Its added value is that in addition to its ease of use, the solution is available via a menu USSD allowing accessibility on a large scale especially in case of problem of internet connection which is a big concern in Africa.","We revolutionize transportation through new technologies",2,http://djaamyadee.com,2018-05-05T22:24:49.000Z,2018-05-05T22:24:49.000Z,,,,,,,"Telecommunications, Mobile Payments, Mobile Application, Logistics / Transportation / Shipping",Mali,,,,
4639303,0,myAgro,https://angel.co/myagro-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4639303-0bffd180abf40fecd7859532908abbf3-medium_jpg.jpg?buster=1505240103,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4639303-0bffd180abf40fecd7859532908abbf3-thumb_jpg.jpg?buster=1505240103,0,"In the long-term, myAgro envisions its model for change spurring structural shifts in two arenas: how governments and multilaterals fund the agricultural sector, and how the financial inclusion sector provides services to smallholder farmers. When myAgro can demonstrate the power of mobile layaway to serve farmers and the bottom of the pyramid, there will be a major disruption in traditional antipoverty strategies for the sector at large. When financing is self-directed from smallholder farmers themselves, it is, by definition, sustainable. The market will react to this unlocked capital by providing better and more useful services or products.","Agri-tech ",2,http://www.myagro.org,2017-09-12T18:15:04.000Z,2017-09-12T18:51:05.000Z,http://www.crunchbase.com/organization/%2Forganization%2Fmyagro,,,,,,"Mobile Enterprise, Agriculture, International Development, Social Enterprise",Bamako,,,,
4476091,0,"Billet Express Mali",https://angel.co/billet-express-mali,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4476091-9e5a768dc02ae9e3e5f990a164a9b7ab-medium_jpg.jpg?buster=1502109372,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4476091-9e5a768dc02ae9e3e5f990a164a9b7ab-thumb_jpg.jpg?buster=1502109372,4,"1. Use Billet Express, to buy on internet,SMS, USSD or Mobile APP, the BUS e-ticket in Mali and west Africa.You can pay directly by using Mobile money services. 
Never Lost your time to buy physically Bus Ticket

2. Use Billet Express DIGITAL Mapping and GIS services for Take Best decision.

3.Bulding  innovative app  and digital services for Transportation and Mobility Compagny


3 Use Billet Express Mobility and Transportation OpenData Portal for innovation (  www.data-transport.org )","Billet Express, Digital e-ticket service for Bus trip  in Mali and west Africa",4,http://www.billetexpress.ml,2017-08-07T12:36:13.000Z,2017-08-07T13:08:21.000Z,,https://twitter.com/Billet_Express,,https://www.facebook.com/BilletExpressMali/,,https://www.youtube.com/watch?v=5UfNHp5Y0FQ,"E-Commerce, Technology, Business Travelers, Social Innovation","Bamako, Mali",11-50,,,
3697146,0,"Example Company",https://angel.co/example-company-2,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3697146-3c30d474fc833acdfc41726588880b8c-medium_jpg.jpg?buster=1487914686,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3697146-3c30d474fc833acdfc41726588880b8c-thumb_jpg.jpg?buster=1487914686,3,Example,"Hi I'm an example",1,http://www.example.com,2017-02-24T05:37:34.000Z,2017-02-24T05:38:13.000Z,,,,,,,"All Democracies",Timbuktu,,,,
3609284,0,"SHOPPING MALI import-export",https://angel.co/shopping-mali-import-export,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3609284-e0c759af5a3845cca33d3b128d9a2f09-medium_jpg.jpg?buster=1486726694,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3609284-e0c759af5a3845cca33d3b128d9a2f09-thumb_jpg.jpg?buster=1486726694,3,,alimentaire,1,"http://SHOPPING-MALI. net",2017-02-10T11:38:14.000Z,2017-02-10T11:38:14.000Z,,,,,,,"Mobile Commerce","Bamako District",11-50,,,
1970874,0,"Great Quest Fertilizer",https://angel.co/great-quest-fertilizer-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1970874-df2b489b17f902d1cb1ea64bab0e4e3f-medium_jpg.jpg?buster=1472138298,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1970874-df2b489b17f902d1cb1ea64bab0e4e3f-thumb_jpg.jpg?buster=1472138298,4,"Focused on the development and manufacture of farm ready fertilizers from African mineral deposits for African agricultural markets. Local production for regional markets reduces cost and increases availability of high quality fertilizer, to boost yields, increase food security and support African development. Listed on Canada’s TSX Venture exchange","Fair trade African organic fertilizer",1,http://www.greatquest.com,2016-08-25T15:18:22.000Z,2016-08-25T16:04:21.000Z,http://www.crunchbase.com/organization/%2Forganization%2Fgreat-quest,http://twitter.com/@great_quest,,https://www.facebook.com/greatquest,https://www.linkedin.com/company/great-quest-metals-ltd,,"Chemicals, Agriculture, African-American, Mining Technologies",Bamako,,"Agricultural Industry.",,
1734285,0,"YES Inc MALI",https://angel.co/yes-inc-mali,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1734285-6a248dd970f76c0efcca33ef4b2d9456-medium_jpg.jpg?buster=1470498152,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1734285-6a248dd970f76c0efcca33ef4b2d9456-thumb_jpg.jpg?buster=1470498152,4,"Top ten achievements of  the Ten Years Business Incubators Program:
-          From January 2013 to May 2016 the pilot Project of the Program generated 500 Startups;
-  The first ever Western Africa High Impact Entrepreneurs Network is alive;
-  Two pilot incubators opened;
-  The rural incubation research started;
-  Healthcare support services are being provided;
- University Incubation became a reality with the first ever University Incub- Lab activities in the Country;
-  Business for Climate campaign is being occurred;
-  over 60 Entrepreneurship Trainers trained;
-  An international volunteer pool of development Expert available;
-  5 update Studies conducted on <Business opportunities in Mali> from 2011 to 2016.
New Partners and More Investment needed
On the line of SDGs achievement, trends above has to be increased for reaching the following purposes:
ð  5000 Startups generation by 2020
ð  15000 sustainable SME/SMI in activity by 2025","    YES I YES aims to build an entrepreneurial culture in Mali.",1,http://yeswebmali.doodlekit.com/,2016-08-06T15:42:32.000Z,2016-08-06T16:06:39.000Z,,,,,,,Entrepreneurs,Mali,,,,
1057540,0,Timbuktu,https://angel.co/timbuktu-4,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1057540-e597616ea1c9e1eb77e2219666d83d08-medium_jpg.jpg?buster=1458135415,https://d1qb2nb5cznatu.cloudfront.net/startups/i/1057540-e597616ea1c9e1eb77e2219666d83d08-thumb_jpg.jpg?buster=1458135415,4,"All our garments are sewn in Timbuktu . Thus, we control the entire production . We are particularly proud of our senior sewing. Our workshops are equipped with modern machinery brands such as Juki , Union Special and Rimoldi Brother . In combination with the expert hands of our seamstresses this guarantees the high level of finishing our clothes. After sewing , each products has a final inspection in a specialized center . Then it is carefully packaged and ready for shipment worldwide . For the delivery of our products, we have confidence in the recognized logistics service companies such as UPS and DHL and Others",Fascinant,1,http://Timbuktustyle.com,2016-03-16T13:36:56.000Z,2016-03-16T13:39:45.000Z,,,,,,,Fashion,Bamako,,,,
873636,0,myAgro,https://angel.co/myagro,https://d1qb2nb5cznatu.cloudfront.net/startups/i/873636-434cd6b46868d740d6809a46248314f0-medium_jpg.jpg?buster=1450493465,https://d1qb2nb5cznatu.cloudfront.net/startups/i/873636-434cd6b46868d740d6809a46248314f0-thumb_jpg.jpg?buster=1450493465,5,,"Mobile layaway for farmers",2,http://www.myagro.org,2015-10-13T10:31:27.000Z,2015-12-19T02:51:52.000Z,http://www.crunchbase.com/organization/%2Forganization%2Fmyagro,https://twitter.com/myAgro_,,https://www.facebook.com/myAgro.org,https://www.linkedin.com/company/myagro,https://www.youtube.com/watch?v=p_smGG3HsGQ,"Mobile, Financial Services, Agriculture",Bamako,51-200,Non-Profit,,
807853,0,"Sabisi village group miners",https://angel.co/sabisi-village-group-miners,https://d1qb2nb5cznatu.cloudfront.net/startups/i/807853-7e53bb7d0090ef335016da42dcfe298b-medium_jpg.jpg?buster=1440237562,https://d1qb2nb5cznatu.cloudfront.net/startups/i/807853-7e53bb7d0090ef335016da42dcfe298b-thumb_jpg.jpg?buster=1440237562,1,"We are gold mining company here in Mali we hereby open a business transaction on Au metals Mali. we have lagre quantity og gold dust and gold bars ready for sale. interested buyers and mandate are welcome for business discussion.we sell on FOB terms and CIF as well when our term are meet.","gold dust, gold bars",1,http://traoremining,2015-08-22T09:59:26.000Z,2015-08-22T10:06:46.000Z,,,,,,,"Gold, Minerals",Bamako,,,,
