id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5732580,0,"Afrikan Arts Foundation",https://angel.co/afrikan-arts-foundation,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5732580-0b83a5bc46478d4db67646edbfab9007-medium_jpg.jpg?buster=1526285795,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5732580-0b83a5bc46478d4db67646edbfab9007-thumb_jpg.jpg?buster=1526285795,0,"A Afrikan Arts Foundation é uma empresa social de gestão cultural empenhada em desafiar, desenvolver e promover o movimento artístico Moçambicano no cenário mundial para restaurar a identidade cultural dos nossos líderes criativos Africanos

Afrikan Arts Foundation is a cultural management social enterprise committed to challenge, develop & promote the Mozambican arts movement on the world stage to restore our creative African leaders' cultural identity.","Promoting & managing talented Mozambican artists on the world stage. ",2,https://afrikanart.org,2018-05-14T08:16:36.000Z,2018-05-14T09:54:08.000Z,,https://twitter.com/afrikanart_org,,https://www.facebook.com/afrikanart.org/,https://www.linkedin.com/company/afrikanart/,,Art,Maputo,1-10,"Social Enterprise",,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/874/626/874626-505f1492c9384a05392b319aaff77e2266877af3.PNG?1526289041, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/874/675/874675-d44874be2cd27eebda87bd3edfe3a274f9e205d1.PNG?1526312110, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/874/676/874676-0f5c687712501b847138031d9ea266141e69424c.PNG?1526312267"
5534250,0,"Marine & Auto, Concept",https://angel.co/marine-auto-concept-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5534250-fc1775042260cb58cbb95d9d85dd7511-medium_jpg.jpg?buster=1522519196,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5534250-fc1775042260cb58cbb95d9d85dd7511-thumb_jpg.jpg?buster=1522519196,0,"We sell, hire and service recreational watercrafts in Mozambique.","We are a marine recreation firm that offers watercraft leisure in Moçambique ",1,http://www.marineautoconcept.com,2018-03-31T17:59:58.000Z,2018-03-31T18:14:36.000Z,,,,https://web.facebook.com/navesaquaticas/,,,"Travel & Tourism",Maputo,,,,
5534245,0,"Marine & Auto, Concept",https://angel.co/marine-auto-concept,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5534245-3e604c9320a4a5adb9e610d7c004f429-medium_jpg.jpg?buster=1522519035,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5534245-3e604c9320a4a5adb9e610d7c004f429-thumb_jpg.jpg?buster=1522519035,0,"We sell, hire and service recreational watercrafts in Mozambique.","We own, hire, sell, service and operate watercrafts in Moz",1,http://www.marineautoconcept.com,2018-03-31T17:57:16.000Z,2018-03-31T18:29:48.000Z,,,,,,,"Tours & Activities",Maputo,,"Startup With Purpose",,
5507560,1,AfriqueComms,https://angel.co/afriquecomms,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5507560-af436dad1fc473e70172dd6fc355d77a-medium_jpg.jpg?buster=1522065734,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5507560-af436dad1fc473e70172dd6fc355d77a-thumb_jpg.jpg?buster=1522065734,0,"We are a communications agency, committed to meeting African companies needs. We create brand strategy and visual messaging. We are passionate about our work and we don't rest until we deliver something extraordinary.","Startup geeks creating lifelong African brands. ",0,http://afriquecommsgroup.com/,2018-03-26T12:02:18.000Z,2018-04-20T12:41:43.000Z,,,,,,,"Public Relations, Personal Branding, Content Marketing, Advertising & Creative Agencies",Maputo,,,,
4628238,0,"Mocimboa Empreendimento Lda",https://angel.co/mocimboa-empreendimento-lda,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4628238-86d0d27fc9a7fc81a799d507f6f57668-medium_jpg.jpg?buster=1505069520,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4628238-86d0d27fc9a7fc81a799d507f6f57668-thumb_jpg.jpg?buster=1505069520,0,"Mocimboa Empreendimento is a Mozambican company focused on Agriculture, Commerce, Fishing and others on Cabo Delgado Province.
Owner of a land with more than 600 Hectares in The district of Mocimboa da Praia, approx 70km to Palma district where Internacional companies are doing Hydrocarbon exploration.
At this stage we are doing Ibo coffee, coconuts and beans plantation.
Ibo coffee is a unique and one of the most expensive coffee in the world, Particularly appreciated for its low caffeine level, Ibo coffee, once brewed, develops intense herbal flavors (mainly laurel, but also mint, eucalyptus and licorice), the distinguishing feature of this unique and interesting product.

We are open to new partners that are willing to invest in Mozambique.","Agricultura: Ibo coffee, Coconuts and Beans.",1,https://www.facebook.com/pg/Mocimboa-Empreendimento-LDA-1088564837945378/about/?ref=page_internal,2017-09-10T18:52:00.000Z,2017-09-10T19:03:21.000Z,,,,,,,"Agriculture, Commerce","Mocimboa da Praia",,"Agricultural Industry.",,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/833/425/833425-9f45ce84b98341036067ed893b5518be12234d48.JPG?1505070103, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/833/426/833426-629ee034eb689fe9ac9cf34a7443e72665a1f266.JPG?1505070130, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/833/427/833427-055fc641be30f3228483ccc958b4e3840e520e94.JPG?1505070148, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/833/428/833428-a9bc3385474138a6f91dc35b7343d964fb7343b4.JPG?1505070164, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/833/429/833429-dea7b9fd870765274d969bc2b2a50580937b1902.JPG?1505070177, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/833/430/833430-0c750a60477ad9e48e1363493b499efc8a9c659d.JPG?1505070192"
4297397,0,"Alpha Holdings Lda",https://angel.co/alpha-holdings-lda,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4297397-53de4effac600c6fd8f6ebce490c8a28-medium_jpg.jpg?buster=1498550166,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4297397-53de4effac600c6fd8f6ebce490c8a28-thumb_jpg.jpg?buster=1498550166,3,"Alpha Holdings has been awarded exclusive rights to produce and refine pure strain landrace sativa cannabis ( CBD ) oils and related products in Pemba, Mozambique. All licences are already in place and land reserved pending successful investment.
Alpha Holdings aims to be the largest, cheapest and highest quality producer and refiner of pure strain medicinal cannabis oils and related cannabis products in the world.","Cannabis Oil Production and Refining",1,http://www.alphaagrimedholdings.com,2017-06-27T07:56:06.000Z,2017-06-27T08:49:43.000Z,,,,,,,"Medical, Consumer Goods, Agriculture",Maputo,,,,
4262494,0,IOMA,https://angel.co/ioma-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4262494-db87679dabd739bef895b49f8b98c2ba-medium_jpg.jpg?buster=1497814744,https://d1qb2nb5cznatu.cloudfront.net/startups/i/4262494-db87679dabd739bef895b49f8b98c2ba-thumb_jpg.jpg?buster=1497814744,3,"We are promoting a new project in Mozambique. Is a property development for construction of 10 Houses in Matola, Mozambique, called Jangamo Village (Vila Jangamo in portuguese, our official language).

The luxuary houses contains, 3 suits (bedroom + bathroom+ closet), 1 living room, kitchen, toilet, office, garage for 2 cars. Total area more than 200 sqm each
The common area with pool, gym, security and commercial area. 

The place is located in a zone of expansion where the new trend for the natural development of the city is passing thru. 
We as company own the land, made the project and now we are managing the process to implement. 

- We are looking for investor to build it. We consider long term loans or investor to became a partner
- The estimated budget is around1.8 M USD for the whole construction.

This market in Mozambique is very profitable, considering other countries and we intend to do other projects across Maputo and Mozambique such as houses, resorts and offices towers.","Business Development and Managing Company",2,http://iomacorporation.co.mz,2017-06-18T19:39:04.000Z,2017-06-18T19:47:07.000Z,,,,,,,"Project Management, Construction",Maputo,,,,"https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/817/668/817668-ef776bd678eda8cc318d34952a910938b75a21c1.JPG?1497816749, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/817/669/817669-91cec6b996eb09d2c3a56c8c0c78079ea9f939c3.JPG?1497816765, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/817/670/817670-3ac10077adee8653ed998428dc89bb515b17ded6.JPG?1497816777, https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/817/671/817671-078c7e2fd9551bf698761af8b54e7d7cd6d7adf5.JPG?1497816792"
3647355,0,MICROMZ,https://angel.co/micromz-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3647355-9ab30057110ab1446c71bcd193fe58fe-medium_jpg.jpg?buster=1487882806,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3647355-9ab30057110ab1446c71bcd193fe58fe-thumb_jpg.jpg?buster=1487882806,3,,"Rural Development for Mozambique and Africa",1,http://www.micromz.org,2017-02-16T10:11:20.000Z,2017-02-23T20:46:47.000Z,,http://twitter.com/MICROMZ,,http://facebook.com/MicroMoz,,,"Investment Management, Rural Energy, Business Development, Hardware + Software","Matola, Fourways",201-500,"Investment Advisor, Business Consulting, Investment Firm, Investment, Software Development, Consumer Financial Services",,
3535710,0,"Enko Benga International School",https://angel.co/enko-benga-international-school,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3535710-c0a18acdc8096dac5e9fe3bfd7a1aac2-medium_jpg.jpg?buster=1485868852,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3535710-c0a18acdc8096dac5e9fe3bfd7a1aac2-thumb_jpg.jpg?buster=1485868852,4,"Enko Benga International School will provide high quality schooling and a much needed community asset, in the heart of Tete, Mozambique. The 400 person primary and secondary school will provide International Baccalaureate education at affordable ($3,000) fee levels, in addition to providing a robust scholarship programme. Through stellar partnerships with Enko Education (top-tier Africa based school operator), Wellington College (UK based private school), the University of Oxford and Kere Associates (globally renowned architects) we have a team that can deliver a school that is both relevant and replicable. 

Opening in January 2018 the for-profit social enterprise will be based within the Benga Riverside complex; a mixed use housing and community complex which aims to re-envisage the way high quality housing is developed in Sub-Saharan Africa. The school benefits from a captive student base, due to the lack of quality school provision in the region, alongside a growing local economy.","New international school model in Mozambique",3,http://www.bengainternationalschool.com,2017-01-31T13:20:53.000Z,2017-06-12T06:46:56.000Z,,,,,,,"Education, Emerging Markets",Mozambique,11-50,,,
3176563,0,Wamina,https://angel.co/wamina,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3176563-f4bd387594b97b6245bf94d6cdb2363a-medium_jpg.jpg?buster=1479715516,https://d1qb2nb5cznatu.cloudfront.net/startups/i/3176563-f4bd387594b97b6245bf94d6cdb2363a-thumb_jpg.jpg?buster=1479715516,4,"Wamina is a brand that aims to support the economic and social empowerment of Mozambican women and girls. Wamina motivates their development by providing fact-based information, products and services aimed at girls and women, and seeks solutions to everyday problems. It was in this context that the project ""Wamina Girl"" was created, the project provides reusable sanitary pads and educational workshops on menstrual hygiene management thus increasing girls’ self-esteem and self-confidence.","Reusable Menstrual Pads",2,http://www.wamina.co.mz,2016-11-21T08:05:17.000Z,2016-11-21T08:05:17.000Z,,,,,,,"Beauty, Women-Focused, Women's Apparel And Accessories",Maputo,,,,
