id,community_profile,name,angellist_url,logo_url,thumb_url,quality,product_desc,high_concept,follower_count,company_url,created_at,updated_at,crunchbase_url,twitter_url,blog_url,facebook_url,linkedin_url,video_url,markets,locations,company_size,company_type,status,screenshots
5755034,0,"Victoria Falls Activities Centre",https://angel.co/victoria-falls-activities-centre-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5755034-122232f675257d08f3d2a8efbc40d3b3-medium_jpg.jpg?buster=1526643828,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5755034-122232f675257d08f3d2a8efbc40d3b3-thumb_jpg.jpg?buster=1526643828,0,"Victoria Falls Activities Center is a leading Tour Company in Victoria Falls. Experience a bird’s eye view of the magnificent Victoria Falls.Whether you’re off for a romantic holiday, family trip, or an all-inclusive holiday, Victoria Falls holiday packages on our website are well planned, simple and affordable. Find the perfect holiday package for Victoria Falls on our website or call us on +263 1328 43001","UNLEASH YOUR SPIRIT OF ADVENTURE!",1,https://www.victoriafallsactivitiescentre.com/,2018-05-18T11:43:48.000Z,2018-05-18T11:44:30.000Z,,,,,,,"Tourism, Travel, Travel & Tourism","Victoria Falls",,,,
5674048,0,"Chatsipac Enterprises P/L",https://angel.co/chatsipac-enterprises-p-l,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5674048-173f1716d7000bf1e0495aadaac7dc75-medium_jpg.jpg?buster=1525141350,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5674048-173f1716d7000bf1e0495aadaac7dc75-thumb_jpg.jpg?buster=1525141350,0,"Australian based Zimbabweans Growing Medical Marijuana in Zimbabwe with future aspiration of setting up a Medical research program in collaboration with the University of Zimbabwe. 700 ha of land available-on a 99 year lease from the government of Zimbabwe.

Chatsipac has just been successful in lobbying Government to legalise the Growing of Medical Marijuana now seeks to raise Au $150 000 for Licensing and start-up.","Growing Medical Marijuana in Africa",1,"http://under development",2018-05-01T02:22:30.000Z,2018-05-01T03:06:53.000Z,,,,,,,"Canada, Australian Market",Zimbabwe,,,,
5642488,0,ZimCulture,https://angel.co/zimculture,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5642488-4efc3f157f59f24560021e83cebf4c8c-medium_jpg.jpg?buster=1524533415,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5642488-4efc3f157f59f24560021e83cebf4c8c-thumb_jpg.jpg?buster=1524533415,0,"I created a site (www.zimculture.com) to help share the knowledge of our culture, traditions and the strength of our languages. I created it because most of the people my age do not know much about our country and its background, culture and its languages especially Shona is becoming forgotten and most of the words are now being translated on google translate using wrong translations such as the translation of the word bottle. It would be important for us to share the knowledge and the existence of such literatures that address the history of our country and its traditions and if enough words are posted I would be able to create a free and readily available dictionary.","Kings and Queens anchored by our cultural integrity",1,http://www.zimculture.com,2018-04-24T01:30:15.000Z,2018-04-24T01:37:44.000Z,,,,,,,"Generation Y-Z, Website",Bulawayo,,,,
5585594,0,Leaph,https://angel.co/leaph-project,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5585594-543a3d797a06f8b7092ca7bf312be46e-medium_jpg.jpg?buster=1523443013,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5585594-543a3d797a06f8b7092ca7bf312be46e-thumb_jpg.jpg?buster=1523443013,0,"Leaph is an academic management system utitlizing the best of both Data Science and Machine Learning to help them get the most out of their development. By using data provided by schools, universites and individual tutors, we can help keep track of a students performance and pick out flaws or gaps in their educational background to help leaders of academia better correct and mentor their students. We use Machine Learning to help schools predict overall performance based on the previous academic records. Using neural networks we can pin point exactly where a student may have missed something and predict what results this lack may cause, by cross referencing the subject topics with question frequency in final exam papers. This allows teachers to aid slower students more efficiently without slowing down the progress of their classes.","School management system powered by data science.",2,https://leaph.co,2018-04-11T10:36:54.000Z,2018-04-11T10:40:57.000Z,,,,,,,"Data Mining, Artificial Intelligence / Machine Learning",Zimbabwe,,,,
5553167,0,"Law Portal Zimbabwe",https://angel.co/law-portal-zimbabwe,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5553167-c6568fa47516e796a556d87facd45976-medium_jpg.jpg?buster=1522857401,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5553167-c6568fa47516e796a556d87facd45976-thumb_jpg.jpg?buster=1522857401,0,"This is a platform that seeks to converge the legal minds, primarily of Zimbabwe, with room to expand to other jurisdictions, onto one platform in order to assist lawyers, students and the general populace access to legal knowledge.

First world legal research material is either expensive or not readily accessible and this is evident by the frequent and well appreciated donations from embassies of such material to our superior courts for use in handing down judgments in our courts of law..

The platform seeks to utilize the resultant judgments based on first world research material and make them accessible to students, less privileged lawyers and the general populace. The objective being that ultimately pleadings made before our courts are based, in addition to currently available local material, on first world knowledge.

We are of the opinion that this will develop our law and raise our judicial standards to international levels.",Law,1,http://www.lawportalzim.co.zw,2018-04-04T15:56:42.000Z,2018-04-04T16:27:50.000Z,,,,,,,E-Commerce,Harare,,,,
5523041,0,"Med Awa International ",https://angel.co/med-awa-international,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5523041-3a99046d8eb1890de17e60767791ab25-medium_jpg.jpg?buster=1522287673,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5523041-3a99046d8eb1890de17e60767791ab25-thumb_jpg.jpg?buster=1522287673,0,"Prosthetics & orthotics, mobility- these for amputees, people without limbs, injured, or any other physical challenges.","Dis ability is not inability",1,"http://NNot available",2018-03-29T01:11:30.000Z,2018-03-29T01:41:22.000Z,,,,http://facebook.com/Yes,,,"Mobile Application","Victoria Falls",1-10,,,
5495075,0,"Kudzai Construction Company",https://angel.co/kudzai-construction-company,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5495075-262b54ab30e982b88ca1560d83ddb1b3-medium_jpg.jpg?buster=1521774173,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5495075-262b54ab30e982b88ca1560d83ddb1b3-thumb_jpg.jpg?buster=1521774173,0,"Kudzai Construction Company, a  proposed heavy duty Construction company providing road construction and road rehabilitation services to Zimbabwe and the SADC region in Africa. With the business boom that is occurring in our local area and the desire to improve overall profit margins,  the company's goal is to become the Best HEAVYDUTY construction company in Africa. The primary plan is to capitalise on China and Zimbabwes longstanding relationship as the company seeks out investors inorder to acquire heavy duty Construction equipment for operation.","Heavy duty Construction company",1,http://comingsoon.com,2018-03-23T02:51:20.000Z,2018-03-23T03:02:58.000Z,,,,,,,Construction,Gweru,,"Private Limited Company",,
5440268,0,"Diner 9",https://angel.co/diner-9,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5440268-9119a1e6b4943839ce7f25d487625117-medium_jpg.jpg?buster=1520875885,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5440268-9119a1e6b4943839ce7f25d487625117-thumb_jpg.jpg?buster=1520875885,0,"Chips, burgers, hot dogs, fries.","Where the flavor inebriates you",1,http://www.diner9.co.zw,2018-03-12T16:15:12.000Z,2018-03-13T06:26:26.000Z,,,,,,,"Mass Customization",Bulawayo,1-10,,,https://d2gn4xht817m0g.cloudfront.net/p/product_screenshots/images/original/000/864/493/864493-785196ce3613212ad3a86d54f515ab73f3f15f41.jpg?1520922214
5411966,1,ImotaCars,https://angel.co/imotacars,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5411966-3933e598a221b0abfe3c342118b0e315-medium_jpg.jpg?buster=1520335809,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5411966-3933e598a221b0abfe3c342118b0e315-thumb_jpg.jpg?buster=1520335809,0,"ImotaCars is a new ride hailing launching in Zimbabwe this year. ImotaCars will allow taxi companies across the country to sign their fleets up and access customers through on-demand requests wherever their drivers are, Allowing them to generate revenue 24/7, increase their businesses and grow their companies.

ImotaCars also promotes safety to all its customers by recording every journey for every customer live on the backend dashboard from the moment they request the ride to the moment they rate their trip at the end. All in an effort to ensure our customers using the ImotaCars app (android/iOS) reach their destination and pay a price that is fair and un-manipulated.

Being one of the first ride hailing apps in the country, it will also usher in a new mode of safe, convenient and cost effective transport to all, whether you’re late for a meeting, on your way home from a night out or just want a lift from the airport to your destination.","Zimbabwe's New Ride Hailing App",1,http://www.imotacars.com,2018-03-06T11:21:35.000Z,2018-05-08T00:20:44.000Z,,,,,,https://www.youtube.com/watch?v=JrnsLsE8y0g,"Transportation, Technology","Zimbabwe, Victoria Falls",,,,
5406457,0,"Patsimeredu Edutainment Trust",https://angel.co/patsimeredu-edutainment-trust-1,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5406457-7b9103790f97b4587ba79db59140ff07-medium_jpg.jpg?buster=1520259125,https://d1qb2nb5cznatu.cloudfront.net/startups/i/5406457-7b9103790f97b4587ba79db59140ff07-thumb_jpg.jpg?buster=1520259125,0,"Y-en-gage, is a mobile application that interacts with young people on sexual and reproductive health issues affecting the young people. It provides a gamified platform that allows young people to post questions and get answers, interact with each other,  as well as referral to health and legal services. It awards the participants with redeemable points  giving the young people an opportunity to be hosted on the Patsimeredu Edutainment Trust TV show as a special guest, as well as other benefits. The product is targeted at young people between the ages of  14-25 who are part of Patsimeredu Edutainment Trust's programming the Buddies for love project, which entails education of young people on sexual and reproductive health and life skills issues through the use of theatre, television and radio programs to promote leadership, responsibility and healthy lives..",Y-en-gage,1,http://www.patsime.org,2018-03-05T14:12:05.000Z,2018-03-06T13:10:07.000Z,,,,,,,"E-Commerce, Education, E Learn",Harare,,"Education Technology",,
